species_slug,latitude,longitude,state,county,outcome,district_id_before,district_id_after,distance_km,notes
malacosoma-disstria,51.932,-114.035,AB,,unassigned,,,,
malacosoma-disstria,52.466,-114.051,AB,,unassigned,,,,
malacosoma-disstria,49.026,-113.685,AB,,unassigned,,,,
agrotis-vancouverensis,50.383,-114.667,AB,,unassigned,,,,
agrotis-orthogonia,49.694,-112.842,AB,,unassigned,,,,
feltia-jaculifera,51.05,-114.083,AB,,unassigned,,,,
feltia-jaculifera,49.694,-112.842,AB,,unassigned,,,,
feltia-nigrita,52.467,-116.083,AB,,unassigned,,,,
malacosoma-disstria,53.659,-111.366,AB,,unassigned,,,,
feltia-nigrita,52.517,-116.1,AB,,unassigned,,,,
feltia-mollis,52.467,-116.083,AB,,unassigned,,,,
anicla-tepperi,51.05,-114.083,AB,,unassigned,,,,
peridroma-saucia,48.816,-123.613,BC,,assigned-contained,,CA:5919,,
actebia-balanitis,51.05,-114.083,AB,,unassigned,,,,
actebia-balanitis,51.05,-114.083,AB,,unassigned,,,,
feltia-mollis,50.533,-121.717,BC,,assigned-contained,,CA:5933,,
feltia-nigrita,51.167,-115.566,AB,,unassigned,,,,
feltia-nigrita,52.517,-116.1,AB,,unassigned,,,,
feltia-jaculifera,51.05,-114.083,AB,,unassigned,,,,
anicla-tepperi,51.05,-114.083,AB,,unassigned,,,,
copablepharon-viridisparsa,49.694,-112.842,AB,,unassigned,,,,
copablepharon-viridisparsa,51.05,-114.083,AB,,unassigned,,,,
copablepharon-viridisparsa,49.694,-112.842,AB,,unassigned,,,,
peridroma-saucia,48.816,-123.613,BC,,assigned-contained,,CA:5919,,
actebia-balanitis,50.209,-114.458,AB,,unassigned,,,,
actebia-fennica,49.694,-112.842,AB,,unassigned,,,,
anicla-tepperi,49.1,-110.567,AB,,unassigned,,,,
anicla-exuberans,50.58,-113.874,AB,,unassigned,,,,
protogygia-enalaga,50.833,-110.033,AB,,assigned-contained,,CA:4804,,
anicla-exuberans,50.58,-113.874,AB,,unassigned,,,,
anicla-tepperi,49.1,-110.567,AB,,unassigned,,,,
actebia-fennica,49.694,-112.842,AB,,unassigned,,,,
copablepharon-viridisparsa,49.694,-112.842,AB,,unassigned,,,,
malacosoma-disstria,51.05,-114.083,AB,,unassigned,,,,
acronicta-grisea,53.01,-114.5,AB,,unassigned,,,,
acronicta-hasta,53.545,-113.434,AB,,unassigned,,,,
raphia-frater,53.566,-113.822,AB,,unassigned,,,,
acronicta-americana,51.105,-110.35,AB,,assigned-contained,,CA:4804,,
lasionycta-impingens,50.2,-114.44,AB,,unassigned,,,,
cryptocala-acadiensis,50.2,-114.44,AB,,unassigned,,,,
acronicta-lupini,51.049,-114.863,AB,,unassigned,,,,
acronicta-grisea,53.363,-113.002,AB,,unassigned,,,,
panthea-virginarius,50.624,-115.129,AB,,unassigned,,,,
acronicta-radcliffei,53.545,-113.434,AB,,unassigned,,,,
xestia-smithii,51.7,-116.49,AB,,unassigned,,,,
acronicta-grisea,52.747,-114.739,AB,,unassigned,,,,
acronicta-impressa,53.55,-113.47,AB,,unassigned,,,,
panthea-furcilla,51.659,-114.143,AB,,unassigned,,,,
acronicta-grisea,52.494,-112.696,AB,,unassigned,,,,
acronicta-fragilis,53.545,-113.434,AB,,unassigned,,,,
acronicta-impressa,53.55,-113.47,AB,,unassigned,,,,
panthea-virginarius,50.624,-115.129,AB,,unassigned,,,,
raphia-frater,53.326,-113.092,AB,,unassigned,,,,
xestia-vernilis,51.77,-116.56,AB,,unassigned,,,,
heliothis-ononis,51.12,-114.12,AB,,unassigned,,,,
apantesis-parthenice,50.2,-114.44,AB,,unassigned,,,,
acronicta-hasta,53.545,-113.434,AB,,unassigned,,,,
acronicta-lepusculina,49.723,-113.404,AB,,unassigned,,,,
drasteria-petricola,50.2,-114.52,AB,,unassigned,,,,
lasionycta-impingens,51.7,-116.49,AB,,unassigned,,,,
acronicta-insita,53.55,-113.47,AB,,unassigned,,,,
acronicta-mansueta,49.01,-110.26,AB,,assigned-fallback,,US:30041,1.198,
lacinipolia-olivacea,53.1,-118,AB,,unassigned,,,,
euxoa-quadridentata,49.694,-112.842,AB,,unassigned,,,,
autographa-mappa,51.667,-114.133,AB,,unassigned,,,,
acronicta-fragilis,53.55,-113.47,AB,,unassigned,,,,
acronicta-hasta,53.545,-113.434,AB,,unassigned,,,,
arctia-parthenos,51.1,-115.066,AB,,unassigned,,,,
graphiphora-augur,53.19,-117.91,AB,,unassigned,,,,
acronicta-mansueta,50.839,-111.61,AB,,assigned-contained,,CA:4804,,
panthea-acronyctoides,50.625,-115.13,AB,,unassigned,,,,
acronicta-impressa,53.01,-114.5,AB,,unassigned,,,,
raphia-frater,53.363,-113.002,AB,,unassigned,,,,
acronicta-oblinita,53.363,-113.002,AB,,unassigned,,,,
colocasia-propinquilinea,53.963,-113.074,AB,,unassigned,,,,
arctia-caja,51.3,-112.32,AB,,assigned-contained,,CA:4804,,
cryptocala-acadiensis,51.77,-116.56,AB,,unassigned,,,,
panthea-virginarius,49.66,-110.101,AB,,unassigned,,,,
acronicta-cyanescens,49.1,-113.903,AB,,unassigned,,,,
panthea-acronyctoides,54.28,-114.69,AB,,unassigned,,,,
lasionycta-fergusoni,51.7,-116.49,AB,,unassigned,,,,
xestia-lupa,51.77,-116.56,AB,,unassigned,,,,
acronicta-oblinita,49.122,-110.466,AB,,unassigned,,,,
panthea-virginarius,49.66,-110.101,AB,,unassigned,,,,
acronicta-insita,50.837,-111.6,AB,,assigned-contained,,CA:4804,,
acronicta-grisea,53.533,-113.487,AB,,unassigned,,,,
syngrapha-interrogationis,52.77,-118.03,AB,,unassigned,,,,
acronicta-hasta,53.545,-113.434,AB,,unassigned,,,,
acronicta-oblinita,53.566,-113.822,AB,,unassigned,,,,
acronicta-fragilis,53.545,-113.434,AB,,unassigned,,,,
acronicta-lepusculina,49.122,-110.466,AB,,unassigned,,,,
acronicta-insularis,49.962,-112.084,AB,,unassigned,,,,
idia-immaculalis,49.694,-112.842,AB,,unassigned,,,,
lacinipolia-olivacea,52.92,-118.03,AB,,unassigned,,,,
caenurgina-crassiuscula,49.73,-113.56,AB,,unassigned,,,,
acronicta-innotata,53.55,-113.47,AB,,unassigned,,,,
acronicta-grisea,53.363,-113.002,AB,,unassigned,,,,
gnophaela-vermiculata,50.2,-114.52,AB,,unassigned,,,,
agrotis-orthogonia,49.694,-112.842,AB,,unassigned,,,,
feltia-herilis,50.2,-114.44,AB,,unassigned,,,,
panthea-acronyctoides,50.696,-115.134,AB,,unassigned,,,,
acronicta-vulpina,53.566,-113.822,AB,,unassigned,,,,
acronicta-impressa,49.63,-114.69,AB,,assigned-fallback,,CA:5901,0.590,
acronicta-grisea,53.55,-113.47,AB,,unassigned,,,,
anhimella-perbrunnea,49.694,-112.842,AB,,unassigned,,,,
acronicta-impleta,53.55,-113.47,AB,,unassigned,,,,
acronicta-impressa,53.363,-113.002,AB,,unassigned,,,,
polia-discalis,52.78,-118.05,AB,,unassigned,,,,
acronicta-vulpina,50.743,-110.071,AB,,assigned-fallback,,CA:4804,0.129,
acronicta-vulpina,53.55,-113.47,AB,,unassigned,,,,
euxoa-pallipennis,49.694,-112.842,AB,,unassigned,,,,
acronicta-fragilis,53.545,-113.434,AB,,unassigned,,,,
acronicta-oblinita,52.5,-112.712,AB,,unassigned,,,,
acronicta-lanceolaria,49.962,-112.084,AB,,unassigned,,,,
raphia-frater,49.694,-112.842,AB,,unassigned,,,,
xestia-homogena,51.77,-116.56,AB,,unassigned,,,,
eurois-occulta,52.18,-117.1,AB,,unassigned,,,,
acronicta-lupini,53.617,-119.394,AB,,unassigned,,,,
acronicta-oblinita,54.28,-114.69,AB,,unassigned,,,,
lasionycta-brunnea,51.7,-116.49,AB,,unassigned,,,,
acronicta-vulpina,49.367,-114.298,AB,,unassigned,,,,
polia-purpurissata,49.694,-112.842,AB,,unassigned,,,,
acronicta-impressa,53.526,-113.475,AB,,unassigned,,,,
apamea-commoda,54.007,-113.269,AB,,unassigned,,,,
acronicta-fragilis,53.566,-113.822,AB,,unassigned,,,,
panthea-virginarius,46.872,-113.993,AB,,assigned-contained,,US:30063,,
acronicta-innotata,53.55,-113.47,AB,,unassigned,,,,
acronicta-impressa,53.363,-113.002,AB,,unassigned,,,,
sympistis-cibalis,49.694,-112.842,AB,,unassigned,,,,
acronicta-grisea,53.01,-114.5,AB,,unassigned,,,,
leucania-anteroclara,53.1,-118,AB,,unassigned,,,,
catocala-relicta,53.528,-114.344,AB,,unassigned,,,,
anarta-trifolii,49.694,-112.842,AB,,unassigned,,,,
acronicta-impressa,53.01,-114.5,AB,,unassigned,,,,
acronicta-cyanescens,49.63,-114.69,AB,,assigned-fallback,,CA:5901,0.590,
pleromelloida-cinerea,49.694,-112.842,AB,,unassigned,,,,
raphia-frater,52.5,-112.712,AB,,unassigned,,,,
lacinipolia-olivacea,53.94,-119.18,AB,,unassigned,,,,
sympistis-stabilis,49.694,-112.842,AB,,unassigned,,,,
acronicta-impressa,53.963,-113.074,AB,,unassigned,,,,
acronicta-grisea,53.363,-113.002,AB,,unassigned,,,,
crambidia-casta,52.92,-118.03,AB,,unassigned,,,,
panthea-virginarius,49.1,-113.95,AB,,unassigned,,,,
chelis-beanii,50.2,-114.44,AB,,unassigned,,,,
acronicta-impleta,53.01,-114.5,AB,,unassigned,,,,
hydraecia-medialis,49.694,-112.842,AB,,unassigned,,,,
acronicta-lupini,50.2,-114.433,AB,,unassigned,,,,
acronicta-fragilis,54.28,-114.69,AB,,unassigned,,,,
acronicta-impressa,53.687,-119.478,AB,,unassigned,,,,
euxoa-ochrogaster,49.694,-112.842,AB,,unassigned,,,,
xestia-homogena,53.19,-117.91,AB,,unassigned,,,,
protoperigea-anotha,52.77,-118.03,AB,,unassigned,,,,
acronicta-impleta,53.363,-113.002,AB,,unassigned,,,,
acronicta-grisea,53.566,-113.822,AB,,unassigned,,,,
apamea-alia,50.2,-114.44,AB,,unassigned,,,,
raphia-frater,49.815,-112.164,AB,,unassigned,,,,
sympistis-dinalda,53.94,-119.18,AB,,unassigned,,,,
acronicta-fragilis,53.55,-113.47,AB,,unassigned,,,,
hemileuca-nuteglan,42.3,-120.124,OR,,assigned-contained,,US:41037,,
panthea-acronyctoides,52.449,-116.145,AB,,unassigned,,,,
acronicta-impressa,53.55,-113.47,AB,,unassigned,,,,
acronicta-mansueta,49.369,-114.301,AB,,unassigned,,,,
acronicta-grisea,53.526,-113.475,AB,,unassigned,,,,
acronicta-impressa,53.55,-113.47,AB,,unassigned,,,,
raphia-frater,52.499,-112.702,AB,,unassigned,,,,
panthea-acronyctoides,52.467,-116.083,AB,,unassigned,,,,
acronicta-lepusculina,54.409,-112.206,AB,,unassigned,,,,
colocasia-propinquilinea,53.55,-113.47,AB,,unassigned,,,,
spaelotis-clandestina,50.2,-114.44,AB,,unassigned,,,,
acronicta-mansueta,49.082,-111.615,AB,,unassigned,,,,
acronicta-innotata,53.55,-113.47,AB,,unassigned,,,,
acronicta-lepusculina,52.467,-116.083,AB,,unassigned,,,,
acronicta-grisea,53.55,-113.47,AB,,unassigned,,,,
raphia-frater,53.55,-113.47,AB,,unassigned,,,,
acronicta-radcliffei,52.351,-113.037,AB,,unassigned,,,,
acronicta-insita,53.55,-113.47,AB,,unassigned,,,,
enargia-fausta,49.881,-111.053,AB,,unassigned,,,,
cryptocala-acadiensis,51.834,-113.011,AB,,unassigned,,,,
acronicta-quadrata,53.963,-113.074,AB,,unassigned,,,,
colocasia-propinquilinea,54.816,-111.936,AB,,unassigned,,,,
chelis-beanii,50.2,-114.44,AB,,unassigned,,,,
acronicta-americana,49.083,-111.617,AB,,unassigned,,,,
acronicta-impleta,53.55,-113.47,AB,,unassigned,,,,
xestia-speciosa,52.77,-118.03,AB,,unassigned,,,,
panthea-acronyctoides,51.017,-115.067,AB,,unassigned,,,,
acronicta-impleta,52.483,-112.703,AB,,unassigned,,,,
panthea-furcilla,51.017,-115.067,AB,,unassigned,,,,
lacinipolia-renigera,50.2,-114.44,AB,,unassigned,,,,
hypocoena-inquinata,52.77,-118.03,AB,,unassigned,,,,
raphia-frater,52.53,-112.7,AB,,unassigned,,,,
euxoa-maimes,49.694,-112.842,AB,,unassigned,,,,
lasionycta-perplexella,52.18,-117.1,AB,,unassigned,,,,
acronicta-insularis,52.351,-113.037,AB,,unassigned,,,,
acronicta-lepusculina,52.467,-116.083,AB,,unassigned,,,,
acronicta-innotata,53.55,-113.47,AB,,unassigned,,,,
acronicta-oblinita,54.835,-111.977,AB,,unassigned,,,,
autographa-bimaculata,51.71,-116.49,AB,,unassigned,,,,
acronicta-innotata,52.351,-113.037,AB,,unassigned,,,,
eremobina-unicincta,44.419,-121.75,OR,,assigned-contained,,US:41031,,
acronicta-insita,53.55,-113.47,AB,,unassigned,,,,
acronicta-lupini,52.467,-116.083,AB,,unassigned,,,,
apamea-devastator,49.694,-112.842,AB,,unassigned,,,,
xestia-imperita,51.7,-116.49,AB,,unassigned,,,,
sympistis-stabilis,49.694,-112.842,AB,,unassigned,,,,
raphia-frater,53.963,-113.074,AB,,unassigned,,,,
acronicta-impressa,53.55,-113.47,AB,,unassigned,,,,
raphia-frater,53.526,-113.475,AB,,unassigned,,,,
acronicta-impleta,53.55,-113.47,AB,,unassigned,,,,
panthea-acronyctoides,53.55,-113.47,AB,,unassigned,,,,
acronicta-grisea,53.01,-114.5,AB,,unassigned,,,,
xestia-smithii,50.2,-114.44,AB,,unassigned,,,,
acronicta-innotata,53.01,-114.5,AB,,unassigned,,,,
acronicta-insita,53.55,-113.47,AB,,unassigned,,,,
raphia-frater,49.083,-111.617,AB,,unassigned,,,,
acronicta-grisea,53.526,-113.475,AB,,unassigned,,,,
lasionycta-perplexa,50.2,-114.44,AB,,unassigned,,,,
acronicta-impressa,53.55,-113.47,AB,,unassigned,,,,
acronicta-impleta,53.55,-113.47,AB,,unassigned,,,,
lasionycta-luteola,51.7,-116.49,AB,,unassigned,,,,
acronicta-impressa,53.55,-113.47,AB,,unassigned,,,,
syngrapha-alias,53.19,-117.91,AB,,unassigned,,,,
panthea-acronyctoides,51.02,-115.033,AB,,unassigned,,,,
euxoa-campestris,53.08,-117.99,AB,,unassigned,,,,
raphia-frater,49.1,-113.95,AB,,unassigned,,,,
euxoa-perolivalis,49.694,-112.842,AB,,unassigned,,,,
euxoa-laetificans,49.694,-112.842,AB,,unassigned,,,,
euxoa-servitus,52.92,-118.03,AB,,unassigned,,,,
acronicta-oblinita,53.566,-113.822,AB,,unassigned,,,,
panthea-acronyctoides,51.283,-115.417,AB,,unassigned,,,,
gnophaela-vermiculata,52.12,-115.75,AB,,unassigned,,,,
raphia-frater,53.01,-114.5,AB,,unassigned,,,,
acronicta-fragilis,53.55,-113.47,AB,,unassigned,,,,
raphia-frater,52.351,-113.037,AB,,unassigned,,,,
leucania-anteroclara,53.94,-119.18,AB,,unassigned,,,,
acronicta-mansueta,49.084,-111.617,AB,,unassigned,,,,
acronicta-impressa,53.01,-114.5,AB,,unassigned,,,,
acronicta-impressa,53.864,-119.806,AB,,unassigned,,,,
coenophila-opacifrons,50.2,-114.44,AB,,unassigned,,,,
acronicta-innotata,53.55,-113.47,AB,,unassigned,,,,
raphia-frater,49.084,-111.629,AB,,unassigned,,,,
acronicta-grisea,53.566,-113.822,AB,,unassigned,,,,
schinia-persimilis,49.63,-114.58,AB,,unassigned,,,,
acronicta-radcliffei,52.351,-113.037,AB,,unassigned,,,,
anarta-farnhami,51.667,-114.133,AB,,unassigned,,,,
acronicta-innotata,53.55,-113.466,AB,,unassigned,,,,
panthea-acronyctoides,53.944,-112.924,AB,,unassigned,,,,
acronicta-oblinita,53.566,-113.822,AB,,unassigned,,,,
panthea-virginarius,50.619,-115.125,AB,,unassigned,,,,
autographa-pseudogamma,51.7,-116.49,AB,,unassigned,,,,
acronicta-grisea,53.864,-119.806,AB,,unassigned,,,,
panthea-furcilla,51.02,-115.033,AB,,unassigned,,,,
acronicta-lupini,52.467,-116.083,AB,,unassigned,,,,
anaplectoides-pressus,52.77,-118.03,AB,,unassigned,,,,
egira-rubrica,49.694,-112.842,AB,,unassigned,,,,
acronicta-oblinita,52.53,-112.7,AB,,unassigned,,,,
acronicta-oblinita,53.55,-113.47,AB,,unassigned,,,,
acronicta-lupini,52.467,-116.083,AB,,unassigned,,,,
panthea-acronyctoides,53.326,-113.09,AB,,unassigned,,,,
acronicta-lepusculina,52.467,-116.083,AB,,unassigned,,,,
acronicta-radcliffei,53.319,-113.092,AB,,unassigned,,,,
xestia-imperita,51.383,-116.117,AB,,unassigned,,,,
acronicta-grisea,53.55,-113.47,AB,,unassigned,,,,
acronicta-lepusculina,52.467,-116.083,AB,,unassigned,,,,
syngrapha-interrogationis,51.77,-116.56,AB,,unassigned,,,,
raphia-frater,49.083,-111.617,AB,,unassigned,,,,
lasionycta-promulsa,50.209,-114.458,AB,,unassigned,,,,
acronicta-hasta,53.55,-113.47,AB,,unassigned,,,,
anathix-puta,49.694,-112.842,AB,,unassigned,,,,
acronicta-fragilis,53.566,-113.822,AB,,unassigned,,,,
acronicta-grisea,53.566,-113.822,AB,,unassigned,,,,
acronicta-fragilis,52.53,-112.7,AB,,unassigned,,,,
acronicta-mansueta,49.084,-111.623,AB,,unassigned,,,,
acronicta-oblinita,52.322,-112.883,AB,,unassigned,,,,
acronicta-fragilis,53.55,-113.47,AB,,unassigned,,,,
syngrapha-interrogationis,53.19,-117.91,AB,,unassigned,,,,
acronicta-fragilis,52.322,-112.883,AB,,unassigned,,,,
acronicta-hasta,52.351,-113.037,AB,,unassigned,,,,
acronicta-impleta,53.01,-114.5,AB,,unassigned,,,,
acronicta-fragilis,53.01,-114.5,AB,,unassigned,,,,
acronicta-vulpina,53.566,-113.822,AB,,unassigned,,,,
acronicta-lepusculina,52.467,-116.083,AB,,unassigned,,,,
diarsia-dislocata,52.77,-118.03,AB,,unassigned,,,,
colocasia-propinquilinea,53.944,-112.924,AB,,unassigned,,,,
euxoa-servitus,49.694,-112.842,AB,,unassigned,,,,
panthea-acronyctoides,52.764,-116.363,AB,,unassigned,,,,
panthea-acronyctoides,50.619,-115.125,AB,,unassigned,,,,
acronicta-impressa,53.326,-113.092,AB,,unassigned,,,,
euxoa-intrita,49.694,-112.842,AB,,unassigned,,,,
panthea-acronyctoides,51.024,-115.029,AB,,unassigned,,,,
acronicta-grisea,52.467,-116.083,AB,,unassigned,,,,
apantesis-williamsii,50.2,-114.44,AB,,unassigned,,,,
diarsia-dislocata,52.18,-117.1,AB,,unassigned,,,,
acronicta-impressa,53.326,-113.092,AB,,unassigned,,,,
lasionycta-uniformis,51.7,-116.49,AB,,unassigned,,,,
caenurgina-crassiuscula,52.15,-115.53,AB,,unassigned,,,,
panthea-acronyctoides,50.619,-115.125,AB,,unassigned,,,,
acronicta-lepusculina,52.467,-116.083,AB,,unassigned,,,,
acronicta-impressa,53.55,-113.47,AB,,unassigned,,,,
acronicta-vulpina,53.55,-113.47,AB,,unassigned,,,,
euxoa-perolivalis,49.694,-112.842,AB,,unassigned,,,,
acronicta-lupini,52.467,-116.083,AB,,unassigned,,,,
acronicta-insita,53.55,-113.47,AB,,unassigned,,,,
agrotis-orthogonia,49.694,-112.842,AB,,unassigned,,,,
acronicta-fragilis,53.01,-114.5,AB,,unassigned,,,,
acronicta-hasta,52.322,-112.883,AB,,unassigned,,,,
anaplectoides-pressus,53.18,-117.96,AB,,unassigned,,,,
xestia-smithii,52.77,-118.03,AB,,unassigned,,,,
euxoa-septentrionalis,49.694,-112.842,AB,,unassigned,,,,
acronicta-impressa,53.55,-113.47,AB,,unassigned,,,,
xylena-thoracica,52.18,-117.1,AB,,unassigned,,,,
acronicta-grisea,52.322,-112.883,AB,,unassigned,,,,
raphia-frater,52.322,-112.883,AB,,unassigned,,,,
acronicta-lupini,52.467,-116.083,AB,,unassigned,,,,
acronicta-insita,53.963,-113.074,AB,,unassigned,,,,
raphia-frater,53.326,-113.092,AB,,unassigned,,,,
raphia-frater,53.566,-113.822,AB,,unassigned,,,,
caenurgina-erechtea,51.3,-112.32,AB,,assigned-contained,,CA:4804,,
feltia-mollis,50.2,-114.44,AB,,unassigned,,,,
hypocoena-inquinata,53.08,-117.99,AB,,unassigned,,,,
agrotis-vetusta,53.08,-117.99,AB,,unassigned,,,,
panthea-acronyctoides,50.619,-115.125,AB,,unassigned,,,,
ceranemota-improvisa,49.05,-113.9,AB,,unassigned,,,,
acronicta-innotata,52.467,-116.083,AB,,unassigned,,,,
cryptocala-acadiensis,53.94,-119.18,AB,,unassigned,,,,
heliothis-oregonica,51.12,-114.12,AB,,unassigned,,,,
acronicta-hasta,52.322,-112.883,AB,,unassigned,,,,
raphia-frater,52.322,-112.883,AB,,unassigned,,,,
acronicta-insita,53.326,-113.092,AB,,unassigned,,,,
acronicta-oblinita,53.55,-113.47,AB,,unassigned,,,,
acronicta-lupini,52.467,-116.083,AB,,unassigned,,,,
neoligia-subjuncta,53.94,-119.18,AB,,unassigned,,,,
acronicta-insita,49.084,-111.623,AB,,unassigned,,,,
eurois-occulta,50.2,-114.44,AB,,unassigned,,,,
orgyia-antiqua,54.7,-114.15,AB,,unassigned,,,,
anaplectoides-prasina,52.77,-118.03,AB,,unassigned,,,,
protolampra-rufipectus,50.2,-114.44,AB,,unassigned,,,,
acronicta-insita,53.55,-113.47,AB,,unassigned,,,,
acronicta-impleta,50.844,-111.154,AB,,assigned-contained,,CA:4804,,
acronicta-innotata,53.01,-114.5,AB,,unassigned,,,,
acronicta-fragilis,53.55,-113.47,AB,,unassigned,,,,
panthea-acronyctoides,53.55,-113.47,AB,,unassigned,,,,
xestia-perquiritata,52.92,-118.03,AB,,unassigned,,,,
acronicta-impressa,53.95,-113.203,AB,,unassigned,,,,
raphia-frater,53.963,-113.074,AB,,unassigned,,,,
acronicta-impressa,52.351,-113.037,AB,,unassigned,,,,
acronicta-impressa,53.564,-113.824,AB,,unassigned,,,,
acronicta-vulpina,53.566,-113.822,AB,,unassigned,,,,
acronicta-fragilis,52.351,-113.037,AB,,unassigned,,,,
raphia-frater,53.55,-113.466,AB,,unassigned,,,,
panthea-virginarius,51.167,-115.566,AB,,unassigned,,,,
syngrapha-alias,52.92,-118.03,AB,,unassigned,,,,
pseudohermonassa-tenuicula,52.77,-118.03,AB,,unassigned,,,,
spaelotis-clandestina,51.834,-113.011,AB,,unassigned,,,,
acronicta-insita,50.743,-110.071,AB,,assigned-fallback,,CA:4804,0.129,
cryphia-cuerva,51.167,-115.566,AB,,unassigned,,,,
acronicta-impleta,53.326,-113.092,AB,,unassigned,,,,
acronicta-grisea,52.767,-116.359,AB,,unassigned,,,,
acronicta-mansueta,50.844,-111.154,AB,,assigned-contained,,CA:4804,,
raphia-frater,49.083,-111.617,AB,,unassigned,,,,
lasionycta-promulsa,50.2,-114.44,AB,,unassigned,,,,
acronicta-insita,50.844,-111.154,AB,,assigned-contained,,CA:4804,,
lacinipolia-anguina,53.94,-119.18,AB,,unassigned,,,,
acronicta-grisea,53.55,-113.47,AB,,unassigned,,,,
anarta-farnhami,49.694,-112.842,AB,,unassigned,,,,
amphipyra-glabella,49.694,-112.842,AB,,unassigned,,,,
sideridis-fuscolutea,42.599,-114.759,ID,,assigned-contained,,US:16083,,
acronicta-insularis,52.351,-113.037,AB,,unassigned,,,,
acronicta-innotata,53.566,-113.822,AB,,unassigned,,,,
acronicta-impressa,53.55,-113.47,AB,,unassigned,,,,
acronicta-innotata,53.326,-113.092,AB,,unassigned,,,,
autographa-californica,51.692,-114.108,AB,,unassigned,,,,
sympistis-zetterstedtii,50.2,-114.52,AB,,unassigned,,,,
xestia-smithii,51.77,-116.56,AB,,unassigned,,,,
acronicta-fragilis,52.322,-112.883,AB,,unassigned,,,,
acronicta-impressa,52.467,-116.083,AB,,unassigned,,,,
raphia-frater,53.55,-113.47,AB,,unassigned,,,,
raphia-frater,49.083,-111.617,AB,,unassigned,,,,
euxoa-servitus,53.94,-119.18,AB,,unassigned,,,,
protolampra-rufipectus,52.77,-118.03,AB,,unassigned,,,,
syngrapha-octoscripta,52.77,-118.03,AB,,unassigned,,,,
acronicta-lepusculina,49.58,-113.95,AB,,unassigned,,,,
acronicta-impleta,52.727,-110.367,AB,,unassigned,,,,
acronicta-vulpina,53.01,-114.5,AB,,unassigned,,,,
xestia-smithii,49.694,-112.842,AB,,unassigned,,,,
trichordestra-lilacina,50.2,-114.44,AB,,unassigned,,,,
apantesis-parthenice,51.07,-114.63,AB,,unassigned,,,,
acronicta-vulpina,53.326,-113.092,AB,,unassigned,,,,
acronicta-impressa,53.326,-113.092,AB,,unassigned,,,,
acronicta-impressa,53.326,-113.092,AB,,unassigned,,,,
acronicta-impleta,52.92,-114.53,AB,,unassigned,,,,
acronicta-impleta,52.322,-112.883,AB,,unassigned,,,,
acronicta-oblinita,53.566,-113.822,AB,,unassigned,,,,
acronicta-grisea,52.467,-116.083,AB,,unassigned,,,,
acronicta-oblinita,53.55,-113.47,AB,,unassigned,,,,
euclidia-cuspidea,52.15,-115.53,AB,,unassigned,,,,
acronicta-impressa,52.322,-112.88,AB,,unassigned,,,,
acronicta-vulpina,50.562,-114.35,AB,,unassigned,,,,
apamea-zeta,50.2,-114.44,AB,,unassigned,,,,
lasionycta-promulsa,51.7,-116.49,AB,,unassigned,,,,
acronicta-fragilis,53.55,-113.47,AB,,unassigned,,,,
lacinipolia-lustralis,51.05,-114.083,AB,,unassigned,,,,
acronicta-lepusculina,49.52,-111.224,AB,,unassigned,,,,
acronicta-vulpina,52.351,-113.037,AB,,unassigned,,,,
euxoa-pallipennis,49.694,-112.842,AB,,unassigned,,,,
acronicta-fragilis,52.92,-114.53,AB,,unassigned,,,,
euxoa-vallus,51.7,-116.49,AB,,unassigned,,,,
lasionycta-perplexa,53.94,-119.18,AB,,unassigned,,,,
enargia-decolor,52.375,-114.992,AB,,unassigned,,,,
acronicta-insularis,52.322,-112.88,AB,,unassigned,,,,
sympistis-stabilis,49.694,-112.842,AB,,unassigned,,,,
lacinipolia-olivacea,53.94,-119.18,AB,,unassigned,,,,
acronicta-mansueta,50.731,-110.075,AB,,assigned-fallback,,CA:4804,1.229,
antheraea-polyphemus,53.917,-115.167,AB,,unassigned,,,,
acronicta-grisea,52.467,-116.083,AB,,unassigned,,,,
raphia-frater,53.01,-114.5,AB,,unassigned,,,,
acronicta-grisea,53.326,-113.092,AB,,unassigned,,,,
syngrapha-alticola,50.2,-114.52,AB,,unassigned,,,,
gluphisia-septentrionis,49.7,-112.816,AB,,unassigned,,,,
acronicta-quadrata,53.944,-112.924,AB,,unassigned,,,,
apamea-vultuosa,50.2,-114.44,AB,,unassigned,,,,
raphia-frater,50.844,-111.154,AB,,assigned-contained,,CA:4804,,
acronicta-lepusculina,53.95,-113.203,AB,,unassigned,,,,
acronicta-grisea,52.467,-116.083,AB,,unassigned,,,,
acronicta-oblinita,53.55,-113.47,AB,,unassigned,,,,
acronicta-americana,50.044,-110.675,AB,,unassigned,,,,
acronicta-mansueta,49.067,-113.789,AB,,unassigned,,,,
xestia-speciosa,52.18,-117.1,AB,,unassigned,,,,
acronicta-impleta,53.01,-114.5,AB,,unassigned,,,,
acronicta-insularis,50.717,-110.067,AB,,unassigned,,,,
fishia-discors,49.694,-112.842,AB,,unassigned,,,,
raphia-frater,50.844,-111.154,AB,,assigned-contained,,CA:4804,,
hemileuca-nuteglan,42.3,-120.124,OR,,assigned-contained,,US:41037,,
smerinthus-jamaicensis,49.63,-114.58,AB,,unassigned,,,,
acronicta-innotata,53.55,-113.466,AB,,unassigned,,,,
acronicta-grisea,53.918,-112.95,AB,,unassigned,,,,
prognorisma-substrigata,50.85,-113.967,AB,,unassigned,,,,
