district_id_a,district_id_b
CA:5901,CA:5903
CA:5901,CA:5939
CA:5901,US:30029
CA:5901,US:30035
CA:5901,US:30053
CA:5903,CA:5905
CA:5903,CA:5937
CA:5903,CA:5939
CA:5903,US:16021
CA:5903,US:30053
CA:5903,US:53051
CA:5903,US:53065
CA:5905,CA:5907
CA:5905,CA:5935
CA:5905,CA:5937
CA:5905,US:53019
CA:5905,US:53047
CA:5905,US:53065
CA:5907,CA:5909
CA:5907,CA:5933
CA:5907,CA:5935
CA:5907,US:53047
CA:5907,US:53073
CA:5909,CA:5915
CA:5909,CA:5931
CA:5909,CA:5933
CA:5909,US:53047
CA:5909,US:53073
CA:5915,CA:5931
CA:5915,US:53073
CA:5917,CA:5919
CA:5919,CA:5921
CA:5919,CA:5923
CA:5921,CA:5923
CA:5921,CA:5926
CA:5923,CA:5924
CA:5923,CA:5926
CA:5924,CA:5926
CA:5924,CA:5927
CA:5924,CA:5931
CA:5924,CA:5941
CA:5924,CA:5943
CA:5927,CA:5929
CA:5927,CA:5931
CA:5929,CA:5931
CA:5931,CA:5933
CA:5931,CA:5941
CA:5933,CA:5935
CA:5933,CA:5937
CA:5933,CA:5939
CA:5933,CA:5941
CA:5933,CA:5953
CA:5935,CA:5937
CA:5937,CA:5939
CA:5939,CA:5953
CA:5941,CA:5943
CA:5941,CA:5945
CA:5941,CA:5951
CA:5941,CA:5953
CA:5943,CA:5945
CA:5945,CA:5949
CA:5945,CA:5951
CA:5947,CA:5949
CA:5949,CA:5951
CA:5949,CA:5957
CA:5951,CA:5953
CA:5951,CA:5955
CA:5951,CA:5957
CA:5953,CA:5955
CA:5955,CA:5957
CA:5955,CA:5959
CA:5957,CA:5959
US:16001,US:16015
US:16001,US:16027
US:16001,US:16039
US:16001,US:16045
US:16001,US:16073
US:16003,US:16045
US:16003,US:16049
US:16003,US:16085
US:16003,US:16087
US:16003,US:41001
US:16003,US:41063
US:16005,US:16011
US:16005,US:16029
US:16005,US:16041
US:16005,US:16071
US:16005,US:16077
US:16007,US:16029
US:16007,US:16041
US:16009,US:16055
US:16009,US:16057
US:16009,US:16079
US:16009,US:53063
US:16009,US:53075
US:16011,US:16013
US:16011,US:16019
US:16011,US:16023
US:16011,US:16029
US:16011,US:16051
US:16011,US:16077
US:16013,US:16023
US:16013,US:16025
US:16013,US:16031
US:16013,US:16037
US:16013,US:16039
US:16013,US:16063
US:16013,US:16067
US:16013,US:16077
US:16015,US:16037
US:16015,US:16039
US:16015,US:16045
US:16015,US:16085
US:16017,US:16021
US:16017,US:16055
US:16017,US:16079
US:16017,US:30053
US:16017,US:30089
US:16017,US:53051
US:16017,US:53063
US:16019,US:16029
US:16019,US:16051
US:16019,US:16065
US:16019,US:16081
US:16021,US:30053
US:16021,US:53051
US:16023,US:16033
US:16023,US:16037
US:16023,US:16051
US:16023,US:16059
US:16025,US:16039
US:16025,US:16047
US:16025,US:16063
US:16027,US:16045
US:16027,US:16073
US:16027,US:16075
US:16027,US:41045
US:16029,US:16041
US:16031,US:16053
US:16031,US:16067
US:16031,US:16071
US:16031,US:16077
US:16031,US:16083
US:16033,US:16043
US:16033,US:16051
US:16033,US:16059
US:16033,US:30001
US:16035,US:16049
US:16035,US:16057
US:16035,US:16061
US:16035,US:16069
US:16035,US:16079
US:16035,US:30061
US:16035,US:30063
US:16037,US:16039
US:16037,US:16059
US:16037,US:16085
US:16039,US:16047
US:16039,US:16073
US:16039,US:16083
US:16041,US:16071
US:16043,US:16051
US:16043,US:16065
US:16043,US:16081
US:16043,US:30001
US:16043,US:30031
US:16043,US:30057
US:16045,US:16075
US:16045,US:16085
US:16045,US:16087
US:16047,US:16053
US:16047,US:16063
US:16047,US:16083
US:16049,US:16059
US:16049,US:16061
US:16049,US:16069
US:16049,US:16085
US:16049,US:30063
US:16049,US:30081
US:16049,US:41063
US:16051,US:16065
US:16053,US:16063
US:16053,US:16067
US:16053,US:16083
US:16055,US:16079
US:16055,US:53063
US:16057,US:16069
US:16057,US:16079
US:16057,US:53075
US:16059,US:16085
US:16059,US:30001
US:16059,US:30081
US:16061,US:16069
US:16063,US:16067
US:16065,US:16081
US:16069,US:41063
US:16069,US:53003
US:16069,US:53075
US:16071,US:16077
US:16073,US:16083
US:16073,US:41045
US:16075,US:16087
US:16075,US:41045
US:16079,US:30061
